sequence,index,minor,sign,normalized,normalized_decimal
B_V,33,451191764901403170298585090547014413036625725141366809009505284724185341399275288267501103141430737919338540852516900658394370560608834056224580443032644459591054073067246506374558193259932075455547749774823144999034642347782282005124308713863021084241693293406551048301769946391856179757733995108712289387536094257934647002982363529912875350364087635223525687312119858238017932310025383312719747/1075902185245008346791166789440494052815470398818315796266988121198904255552194060910525043055972339452377714934907715843064158298245929460650835667402403577906442521494321596071917315185188046314522181924209600177373800214399633809859389181021288644843607482543536752676498219215265603358031357803777124864753132521265970135029278218125312000000000000000000000000000000000000000000000000000000,1,32034615307999625091199541428838023325600426485037043439674875215417159239348545466992578323041582392273036400528699946746000309803227217991945211455317756630964839187774501952593631721455177357343890234012443294931459606692542022363825918684274496981160223831865124429425666193821788762799113652718572546515062692313359937211747810623814149875850222100870323799160509934899273194011802215203102037/17311737477932249141161800524530471111364895549331484137328290969472112515004238543523905087196390734159676561188829247843725874542094924881020674694048162435133998637266749789397347847781210826906569360174286685860458384977235162812800470662396800414647757348877119743303733281415367739469680403171115445319346254360066951769075541809055662795179027425690875477668953012029799883620568482889826298228,0.00185045639404103927
B_V,34,-38203852271659871929066922509394325685266074713623383476795835725289370473624818535234275581720654664172971192367556979647903145043100640581330314142388900345324310417850520267740551915728954521814163580137231804356378660215448075810710739054710297281945831612531751395443472982558070638755460866435983485380792988853001462924451538783472076680328436392236584169304030242475557462231870010982479377023959032803/128457839451610203230178446967841975586745932049770254148994309088080286490906486810178135489176497217210175377949181451019841310840958172260739572841088535785470039075632842673070435521400701426620701624578631358256048668831328983037203730238270011623499059273940410230105877536184426343213594091331667074681121341659323316981165180547772740061943037952000000000000000000000000000000000000000000000000000000,-1,-41069141192034362323746941697598900111661030317145137237555523404686073259146679925376846250349703763985944031795123753121495880921333188624930087703068067871223633699189309287821093309408626110950225848647524189683107059731606681496514044483813569578091768983471632750101733456249925936662120431418682246784352463016976572643785404192232482431353069121654327982001832510661224271899260261806165330300755960263225/54235973203352156563619340342566618948844014146614848010875907243364482309261950809577528643290560903949225749352313994384183256379474753552285833074167156572679795014101896805362202020774112072328917786784839333473831257306847963910642326176294036271559252839529458133754546121679698551879556330512213708047241964040409143452742868671423646521492485873872854144526331384605798755485586878434739933787932499206125019,-0.000757230649075842674
B_V,35,105579756543072292292297205166635869692778954125160439769133406532201182288441806491792211542853698137918400088559520075627032739425665147388130462508007743637645457600890706420520611022426925061125543225208194330071232105523442686749434929134209574129740346076044767531272413061862470733095145476397580737526572174741703943256334066995235202302700166952776128085356219150393145217782243961654212504986070910457631342042963713437300811/120289576543494697520535810802070236576399354560755241329815380011018558459056497378225742427854630547280100754279037688883473905867274345595373012670223273800533158980723259472075924809072439440435924322900234174461091010792021374092945330275516203461749022938858605366585203620580419591104282242416932925419263315452120885467630490464613459464338172407715884444688328949760000000000000000000000000000000000000000000000000000000000,1,105579756543072292292297205166635869692778954125160439769133406532201182288441806491792211542853698137918400088559520075627032739425665147388130462508007743637645457600890706420520611022426925061125543225208194330071232105523442686749434929134209574129740346076044767531272413061862470733095145476397580737526572174741703943256334066995235202302700166952776128085356219150393145217782243961654212504986070910457631342042963713437300811/81751781474378239768969850408323708412937812093566439264974720744477706486873273013738164249780891260836595568741373732699571426266134461294266822907853845244634368233544950246130705613394009330221125975478810861333695253474664964543097750801978570389600284797817257196576223887081739901620980127236821985835806701784414617117042421925880861010768551546506348416305548377453982092955659789946616708223741080037530186120464756388781993004,0.00129146734956671208
B_V,36,-711522557925069028325876659970428285725454318862238892013361367290833493921005144368045981227444495359268259506973309208059100126204500696999597595859556253887554432128657283445226787086359261134898592555937638171981733002281099762073625202102254154936557813159360138006023597414332592940273016654776172571973050324448005153079817279548257542908488747567349746638116135270430036140230504540910899657267285170775185855878437442865344806133397442071250982301/1564124980613042238318771471100859453247804848114420683313421089470731868422450263786316546403129866012754709204786277422222336291042486535922650257971218765454853709757774472611938130501547526848182180250240063690758925997999268103673634193421277350286940249200615017755406980024489265529580815643831433777796801578974755618166929527799853338860330121397170578207305163831161056384504510996807680000000000000000000000000000000000000000000000000000000000,-1,-711522557925069028325876659970428285725454318862238892013361367290833493921005144368045981227444495359268259506973309208059100126204500696999597595859556253887554432128657283445226787086359261134898592555937638171981733002281099762073625202102254154936557813159360138006023597414332592940273016654776172571973050324448005153079817279548257542908488747567349746638116135270430036140230504540910899657267285170775185855878437442865344806133397442071250982301/1844219378913853022636127566845346624554983301506326805346962593940060553809219962223397365635175964207405263201317633337415923667226242019647497465762633060208947329542607686009164342214265120401016983568393193696463504367926354488345025011438057200568327457337845680705319516297204227691363837484360311506227394457625601196320138544572563897474869547662278312989138734242700159690000964329665562471909614238514063814282889852470076900728549686896495285599253,-0.000385812320410664985
B_V,37,47263886030825317286580710947337989675863181292067244510142786417567123164784215632418236899911291917248007325256733954929404106355501360930507803533802093793243085831523195298080552563809355462479706174272275769638957511280334213835658150356271975412932396294341380760892316663039256754133146912130458855644237369046657561775875995946754906223582219539989641470038609895144397394438207387977513321344423380443116337213055620875304058163355385419441279285299571848557/25031097320943559682133389174269759170861864899894461814530295365025616957186204821983670973032450787689141980757273049536867638950851396425720347643114937575463358693453717328616751704293200831886828528465951756086466849132761046643763933808986700302001773281413829656948517890793106374524436065924276492680720067497483758523692128076582974279592936529155968679563855891267055088620491147336653905351147520000000000000000000000000000000000000000000000000000000000,1,2788569275818693719908261945892941390875927696231967426098424398636460266722268722312675977094766223117632432190147303340834842274974580294899960408494323533801342064059868522586752601264751972286302664282064270408698493165539718616303830871020046549363011381366141464892646683119316148493855667815697072483010004773752796144776683760858539467191350952859388846732277983813519446271854235890673285959320979446143863895570281631642939431637967739747035477832674739064863/3018629085479881869767876383125055389019813044201016668490451564254756960503356387928112250633124488541038011386360971573346934687486492820926974888889534351586871223851269010206956139357070907555213900988252762356059671586980274262614398287459564367955670743601983458536748097898189729235540558864728481950167690253871594403140020046696391832018365821989415143638286536139580649773943000732940377246702433298245432498743083527502533164449966482507129341644966700387249132,0.000923786658398073808
B_V,38,-842098590831690561952936721726608383525932893275160477070665472954441721377455541450528787817597578969120199967623608606517939226525808635222972803971691848753665104559675032253064000787124677029242393941951684007016451047992486177947086746310344154203516975918497553365911913111890896141710123255941102918574591587238956503015579693419897597696426385345883669531071674810636559369546136669629177385898120481943476149885219734692103476001312346374691141180943640786717963335077/1521235096835931200894617235881720613070869132518464111834719977344211675800897795826170224546323271240672342802710980587526609840965985983481369340343531820501287001010311990710923374748829677456407125820951856915672900898374728866431527562071158596633543869217610987174442094422274932038207313119272076122566142219057564385756361491216402649571617685949972043549834529468489215465770462633824174113186833802199040000000000000000000000000000000000000000000000000000000000000,-1,-21894563361623954610776354764891817971674255225154172403837302296815484755813844077713748483257537053197125199158213823769466419889671024515797292903263988067595292718551550838579664020465241602760302242490743784182427727247804640626624255404068948009291441373880936387513709740909163299684463204654468675882939381268212869078405072028917337540107086018992975407807863545076550543608199553410358612033351132530530379897015713101994690376034121005741969670704534660454667046712002/140406198119446775716946260775144823735557854540563562836872343718160620346670353772174929262815825330636802269639132014357559403477055850251213334898197419027319778506233677130367988980161681671572021895706048752636094399412310211469590247713237939990674450382928390847456976514730068809225091887064578461799483293277524655842628126631392132529147197157573988414589528183270937740558434137735264296446885528190466694269667023247595361985260773530125992650292343150001052535267290625,-0.00015593729945595242
B_V,39,1104490692055522536187176331742629949172842061820750435058584115849149114463793221077156943928187462218297528031883045269472947535323562038161002447269443002272425819628160124430899367579795705645147539169450877131151854211813965794406157790433115160559418751589483019012537073556822991782934111842437409949237329581624349532370868589434138447076626347200846402115662231266861366009106285516859697166286237688782844116035445344445449544085353350574122280976976279224861020265923124050733155402187/263553908401588553661933591115058058826456434756212186099779448102932707635266437092087037127069883527498206225695246789928792776726523628124621585432591089164298362153712889833464401235610952095882204038197814535434455859968130586907885212963711174011113598076538715548265296979704311903526724022001753871128560658422489090915958392329532905376730018638218304391380711497118693074947124094146721876999334539672221642004082196480000000000000000000000000000000000000000000000000000000000000000,1,1104490692055522536187176331742629949172842061820750435058584115849149114463793221077156943928187462218297528031883045269472947535323562038161002447269443002272425819628160124430899367579795705645147539169450877131151854211813965794406157790433115160559418751589483019012537073556822991782934111842437409949237329581624349532370868589434138447076626347200846402115662231266861366009106285516859697166286237688782844116035445344445449544085353350574122280976976279224861020265923124050733155402187/1624386395822587231042999783895462798209149140619830307035889492106868365116867553941907865972879601309581330162283920302855337358024430594395083368056310907318098294694280063855930056656238916865425337552973763279524736897546791795149703742801969968505376381159318270576610606384527455377313319984768064758107019282719151779127081958728313360535433219496875735037837823242725328742348245675872504218364947517854794501073201901956488429863080382613778641210536383024655038392637574828520991592130588,0.000679943328075097489
B_V,40,-258660897057563018730373317045917580394031860399633977288949520418432630404745752715107554597724536470782405414505542386508535702024489189899865783090387068110479628296730043597340337958289340670753771361872744449657594624416240744196558150133959902430726736476229533871209329309010429404676368186105551309579947727792797685146015459962869314795572412419393238752215844617715491823942239349452633924912274274202956849718501788664729455710702986460656914618927488689722312526021992460642195172065821284072035055961/1512934398335594839822414351007088587976761501241571269381603589823800069729675746107165040228246828045316008977572659279310662077557165456304166540151123418422627218298292600014475111693948246536317648471713777145387656314228691379432840217938622300450021693883384025443813415233060471963486685969551430716648018440635065547519250444979765144101679810637580094652158876241183227579421768443937155875135624639432339466889366606765984397551206400000000000000000000000000000000000000000000000000000000000000000000,-1,-258660897057563018730373317045917580394031860399633977288949520418432630404745752715107554597724536470782405414505542386508535702024489189899865783090387068110479628296730043597340337958289340670753771361872744449657594624416240744196558150133959902430726736476229533871209329309010429404676368186105551309579947727792797685146015459962869314795572412419393238752215844617715491823942239349452633924912274274202956849718501788664729455710702986460656914618927488689722312526021992460642195172065821284072035055961/16211890351629161600599361042408961164466769927878679257469701595004790326656466191581309361781538229281701169035274154407492926987880917498664803929972126890852109161787646251870521039160475584040219034144091337549425910216172096846431598380723051926147335296062549212789190026492673205546735347521214666755088558079375909319430695384919758920012657697513426521085748086235575786305305023996610106516145921246215355984200773790975584256685676575853853250222981474166610204538636141574427766401473077404608319534674761,-1.59550115037368082e-05
B_V,41,2268811899570505678218610251753897371873205662916383090181805727454772097844569463698504552290053439435021783264773363287106495219801966218628603575496875811500817918330989202792162476539864573271919297761063564936140819406660209020457729808427586212748738146458812202408446894217883844090362291754926524072412076659984630385687806983625271165620881794557496607194183815335753371054760203613459890594026272466363358680968740867235289655643387538536627894068347698440363823772235677611192620727244022729679861953331610870506820287/235800190059184238170375570069745471790641200544686337130669855277409464209357082310126854946496833598875506335896859796527984082356096317347748159691658535945502828083981513410138031221015869018296551316387673979731447406917053822753384715649663148458109734788920409720165469878065966126843229810561133162296273928068601046619808836222013392648067344835352677300281693680574306024073786774808464361967363311213718576926513782848067866147226040970466295808000000000000000000000000000000000000000000000000000000000000000000000,1,2268811899570505678218610251753897371873205662916383090181805727454772097844569463698504552290053439435021783264773363287106495219801966218628603575496875811500817918330989202792162476539864573271919297761063564936140819406660209020457729808427586212748738146458812202408446894217883844090362291754926524072412076659984630385687806983625271165620881794557496607194183815335753371054760203613459890594026272466363358680968740867235289655643387538536627894068347698440363823772235677611192620727244022729679861953331610870506820287/4392760554108727884737877084223144622349202626817447073476901493394293843386965146603079743144834702833384887595580974365480474265556479162995852704998920879788710615000229336920790013427652131001988289130342413421390905449698953681381221515864808795240725807631102307649175977418921848444067211952843126818658249983322267380708257426394006876813653235995551733522096740254705876039757288080634052160079341956739557856774371572458140840371810574713524004556835595587064718514026625505439546954277830297784419618595392396807653965020,0.000516488861986432054
B_V,42,91950625497509941475149768997128674165540814882617029652091795554166276811817212320801899847568244911654424523956049534238738376554558018265047570095947551200338638642368272791776040713803792977411150530841403655095511456047630159342646719938369010286768997171423602962810238790712692504705583871318066795269162567570766996719094558426368319342992066352828278685224585003293419626852500194914439524679765230829623378879691784546370677408706353499014812319935570546534759470311274710904248067302495853113871621147138985035447754826247591371615879/42215018475398438764886740377950936370340056631345030633527563925237301673150573473298823968933824354156501404356874839014271513953496114006977979512541157359139480891336009213878251498755866413408399815360831527129973429236872645440386747073657457312428845728096248038843186318970216898315126728068182207980163737255671269764861328723183736187417295648410633282638598874375342517292226829613663092158069583813944856604886423917775309558988632546380377714327537515222794240000000000000000000000000000000000000000000000000000000000000000000000,1,91950625497509941475149768997128674165540814882617029652091795554166276811817212320801899847568244911654424523956049534238738376554558018265047570095947551200338638642368272791776040713803792977411150530841403655095511456047630159342646719938369010286768997171423602962810238790712692504705583871318066795269162567570766996719094558426368319342992066352828278685224585003293419626852500194914439524679765230829623378879691784546370677408706353499014812319935570546534759470311274710904248067302495853113871621147138985035447754826247591371615879/1368638283614565293202711135044192950389940887794662550132527473867996746024412385498705894500364565830070930044969626031052509324131824240532436399471666731629164964168569552093866383493339754240990954183262366857556415837814446927255514596784864729678083499134684904078862529686273941373247397239286310709295709896005026291363275487804197898186549891279873533675912582391442781860100891342745329289398113591129852502610185107479389823804624124081572226381749072807724753956604950583618976780916500739425517422428887384049306240898522356253495051591,6.71840226876226944e-05
B_V,43,200195808394150396622980675915021526694841257093063680701217267190901976548774871847357514806150536860745327974624739083488121201723029504291831992968837713574695418278508888429781104253305269939322289845500020291590737028626584137475165850631511294981741308303661166438956790569750443879457461444889024829897827234736880643844666557517272825710358790258141647902248894373722333785471025743013842653958515579492333162039543393394665593737516043064720213191243057859006651085247040951563954439815895864148737866343753233738115226296647136913981193625953039718367/8750928174909708278069813210665197981215235507540853957469398088627463964243436283059157931950020413444500264455851040312804376362076682773803240668168435425556713139277755547422135432119880590949571547039139669583136646538035943313004793524879075833527131012348156981188295538904137650666365399923650971036933359892918206291122607075804917807590273122104042120051418825905541497604579868726881213824529248483221875721585285318212567948962683345709202047672328227797307302704257695744000000000000000000000000000000000000000000000000000000000000000000000000,1,200195808394150396622980675915021526694841257093063680701217267190901976548774871847357514806150536860745327974624739083488121201723029504291831992968837713574695418278508888429781104253305269939322289845500020291590737028626584137475165850631511294981741308303661166438956790569750443879457461444889024829897827234736880643844666557517272825710358790258141647902248894373722333785471025743013842653958515579492333162039543393394665593737516043064720213191243057859006651085247040951563954439815895864148737866343753233738115226296647136913981193625953039718367/493812970683674021371752324044416581400597621792567786820844702520099664845125710405521388616126017768679932438546222930981642818351243340005259588159354851529435316922292078493280391260429937936291303317163797966034733596386314632190158678917493243066890858168334744452085821434004000247133731884269860602885576949932424505248812448222145187888080088509543215715634196164959260173492243039613158715785664576112027058311065161433953844396297614476081866665893788936471209302593912088455181973940386044224709196546309389975429596960546920496908475366072993683695900,0.000405408161144457917
B_V,44,144506989834709179055303267685115677697832964667942646032755563970371484285645461774494506560199564400814150048318237273013724424966087574721628201493301460324451072595311876867601653997201309777128118183872422133406368127356376600903631815647772855018510285155780208044513194178293138535567012771880253836841062994994066156354717661173155127630245289804398585807755513489952717198144293718939338038185422815319097880993120418142315865575079242568631089842250205277681375206366440031409055276156287448897624831946655726132948658042993954631349359447963148211752488232046319515611/12829442504032155232803004030146448354160213091355701711969383533626517127464590309924015753709957858907636330123940642911594927828413041301850102038555765386696035890379477750032588375159115105854514081546680958136398400710781817906816468880871349720447177460772973531088579169014855356939361924174027212049791060552942518575912334200223582550561052864766002867217087841652970940083645522504602001016193204576908835478183932697210826013345168522275125752345972885269526901051959542769375530264716902400000000000000000000000000000000000000000000000000000000000000000000000000,1,144506989834709179055303267685115677697832964667942646032755563970371484285645461774494506560199564400814150048318237273013724424966087574721628201493301460324451072595311876867601653997201309777128118183872422133406368127356376600903631815647772855018510285155780208044513194178293138535567012771880253836841062994994066156354717661173155127630245289804398585807755513489952717198144293718939338038185422815319097880993120418142315865575079242568631089842250205277681375206366440031409055276156287448897624831946655726132948658042993954631349359447963148211752488232046319515611/1261115587991674945626698153744746708499072565000198464147366840059651933987236159656354526295175427997453566780806001254205132860390409979719885989111014141941327287289800481319085711353116930990223701728810338323309047567196233623256489532471638984373295950754230184910254403194790904781213679634388857293079545098511119547094837420663465130185541005217253978335435139686431018212271711547372069197359253957843211083556937229766277896250363240955585306644663703398572020439837662082584995118420062998168714285707120118953818592567480398810137655222081734307755863431393203316149389,0.000114586633620821694
B_V,45,13708505944172129249739945014395345018183081431066663157356563390815092267681882433703236454494552552717035830192080976320312230021508070569396529478629146728075012964302565381110730379129153149733999948480167885926746384580333858113339514840302595625993847255757444456747370580157521351714526419993392957709075908866580192065966366730023593774003071845777451020501152616310089054533758168384432609121490259295597230063482482621722845916780177259256466908644995924375384909589674113681824761740365458836359825125606272182224918057571470984462438066885797009951963048018981729783765539449723036966829/243569249839516971773871263256802800736812551804949719084130208587744620598258885831940670027691374177584929737869461793274854373041798184773303028718274760651267605506029323793732571954354902815945751357433551124389619543680131056672338383466318655557556831181730341768943408897199216895777143454645059276379399071286917911593951142672431863849620649775461306654744972537285502624209035604074634814477037042766439009025528135355836481625049157724728358301456397760891644072931653487986806991571594858819103383163712307200000000000000000000000000000000000000000000000000000000000000000000000000,1,13708505944172129249739945014395345018183081431066663157356563390815092267681882433703236454494552552717035830192080976320312230021508070569396529478629146728075012964302565381110730379129153149733999948480167885926746384580333858113339514840302595625993847255757444456747370580157521351714526419993392957709075908866580192065966366730023593774003071845777451020501152616310089054533758168384432609121490259295597230063482482621722845916780177259256466908644995924375384909589674113681824761740365458836359825125606272182224918057571470984462438066885797009951963048018981729783765539449723036966829/41716496320608547076290844957159219604053188792469593981602929740844490127109377451518430841709921573401953681209180651093038552286114316581029509614893598370659452265587689029869986018995367958602996428522199598155842900816328913347357819815357891759940227427622878777763076313328471868623275447446469469295353145230627005681760707699111202500286247061592249409871676126345015739691223515934208349843893332720207648067198708006265149109176514681587526116590381077504686147933986165757790848147716692290011117904055267660822012969400826599889590528934949917360609081848985260314200483549904962006382500,0.000328611152739592162
B_V,46,39743126787873525788821169944768553036789814438734957356035096281282702145064375707340592445486850251708977891870736148377112031066574848882082620158837601944712655335427561395806800055397852675080499451459164777582093787635873227664497832678045623002544160240527884272537625137581660927487061593189391740044477456747515922668572752227455978660331434303728379650633780292913498418910379834880604199449530457386001523579507105101680867374413525406709145030074509308413470668470758524594007992050572373291870995031119234895855734776706044710886176348501465948853557367119972964246629847559949415050357511/952686486119021622114446825589629999969847719202203235539668366092762305924286425678385077597641501289950780717748489971647723445957710557638727577452013935543382755123135706047012501770995604842685657823009691493080309888589931323033877686801316866773976620910382703611600021366869425904129939248879072639147703215852288794555415738710800492274509045567229393040475493092541768131568846584846565826982169876037855877553424485966494954902284468287543408368646416335224529750022246595677807187622894095053217285379864710348800000000000000000000000000000000000000000000000000000000000000000000000000,1,4290946169906340958841655255426826365723085895506897140859041240201249502496165451994441744561878761126263216051607769731831654658164886709251814250689219369164791258600107521221072781581139959770416284275691643541205919969682324771252837500750551778715685348689074081253069773229279185357995579031879057997382097572659051622757794339741739648020003967470641965739977356884991683794496979632554193601967454892594426496308643616513178207813305097586166261462054546501477187662782385624841260877724147427203435720524850434000856116636621529300247801818657774099872028255842121030815884751505058494741949390137/30714966467185594290486742572884760590158794190041055070841140927319944657937816867605801840626479822513527159192706785913673249009092215899669218798493203620406116404206729107457989007332663315015404953226118631560327856419304138087383559063655037478150104704403676510134933801209980436980179038032501791958816178824497779085352880519999186906481603403903249436860425498992303305543139882748113826945945179072845001792078931430694995169022432586658368478009074950271550884928626167202103413287149838009632666735309092306230782571492642735932005671933214913819140707389942254323503517090741496872528392876820414,0.000139702127771833436
B_V,47,671515914140875644320890846478822023996331150578926325090056952629792201552656020035535800155608532555924989483687602305625282136499075518998829287164677429927127390498902406482650810208677740817195891049981556879330822096922449998886670191508641044681622699728058109706551714314792987484494620654007128460986182967851424393488017023372767788971154479769672592975098498193413211258299476443116896709828251559363532153514010935830054624243690113621790593016120149243202527926786110275036464385585101648126414876408028044376410363946495309130047510807785949933483949213990611400543062906835883104948947142754324945827881401/4699210176200286312422021761049725183699159222672751674501072359068512337227414328955775850485022977674906972625242424955589550963760555113609743942392699674415062697513479058996017182119557388937156574985508385758182154691886272813501197887110093319604527829436588040809186957220950313563445761886966176432010793633816994152830779152728000772649603528662054132905154023454652277790636625323485139807906170888673434595868660577384788792134495142399706461165024420168866297717118821613655497194035505094988416486064787948313311078393053184000000000000000000000000000000000000000000000000000000000000000000000000000000,1,12758802368676637242096926083097618455930291860999600176711082099966051829500464380675180202956562118562574800190064443806880360593482434860977756456128871168615420419479145723170365393964877075526721929949649580707285619841526549978846733638664179848950831294833104084424482571981066762205397792426135440758737476389177063476272323444082587990451935115623779266526871465674851013907690052419221037486736779627907110916766207780771037860630112158814021267306282835620848030608936095225692823326116931314401882651752532843151796914983410873470902705347933048736195035065821616610318195229881778994029995712332173970729746619/46497804998780839854786114786811092587292096480783881808314515807715332571889619119178980544798061339216349793373444389770731719811683858982608076701757545218684923102305244834932658088502554026118234366134648821196793738978468401294068603343846540950260531307347586104401332857775418618771498261813621218198589096060157082324591995818152061815196070871867449620597749519666333638516089453931919682142393353989332558683775180233257694653903658670200472153280181705502371832299589173702479618585517629754253122872311068837705993801037624657726388517112694896847108183894836886474106385258096996462340146113494833534522374651676,0.000274395799307325817
B_V,48,61040075398666371349513413208557728961806692324673944352142590048808752458759030947192390858398638152676709379917488190166684714515814920979064610687126546315888517299100681490644421652088466373757724549883779694160042869270071577121580419883190959961643392971233152590184829918271839013079552731147697256929654860777058373021686319533029773251118708343260582064564670922321644641420469391341504205103739050560829295881038261152609632607285462303555975125327322417367178368761540869648762363113636880576898192838446446720342137574200846544544528128859667925976658738843766726876944211920471435775494190834164869434275269552935227200741153153839/444612116308848073259398906631267845447279457806377335009433445329411676485937303137079284881877447633855782610460905451388831926612041879068487892162781095253004941723606839070229949632865249132010161160797563874918401174204481237953125598094098360128321854668986997704927998840489741549446070628194931884852263887790621779429661736673686217067435522250120444206822067072541443378656249548604034238565772698537449426644696276698203161089145960603341052499826308428995692808775028491940012489474427619984933884748273742783948434792350373276353867043015596441600000000000000000000000000000000000000000000000000000000000000000000000000000000,1,61040075398666371349513413208557728961806692324673944352142590048808752458759030947192390858398638152676709379917488190166684714515814920979064610687126546315888517299100681490644421652088466373757724549883779694160042869270071577121580419883190959961643392971233152590184829918271839013079552731147697256929654860777058373021686319533029773251118708343260582064564670922321644641420469391341504205103739050560829295881038261152609632607285462303555975125327322417367178368761540869648762363113636880576898192838446446720342137574200846544544528128859667925976658738843766726876944211920471435775494190834164869434275269552935227200741153153839/404034596202735584154330551486440761145172998493403543809368275205819739079308455218261917683593667812698238817137435825037536655155851144310030326792553595150670498937146759100169743982699707217657967437070244665704399712534732405783784437476477045318757667199355247923073441477970102995265936841856024143340293766717755750740134306852972575016034422680634927670329067787807001888473225153091669310073226311891987437056002551523867581055791251669267625717753654539340709287688791150782573660902557171400890303792705608845525432068656305640131495990028719848293071872883924535773205177887827013107736513923382457190158451961109233760935544974183921,0.000151076358243435718
